baseline,arm,variable,level,lead,spread,spread_rms,crps,n_inits
aurora,weight,v_component_of_wind,500,240,6.0776703,7.293675,3.6518309,112
aurora,ic,v_component_of_wind,500,240,5.6305595,7.0403455,3.8113472,112
aurora,weight+ic,v_component_of_wind,500,240,6.3111002,7.5613531,3.6462069,112
aurora,weight,v_component_of_wind,850,6,0.12181781,0.13573895,0.30430481,112
aurora,ic,v_component_of_wind,850,6,0.75443845,0.86554093,0.61834827,112
aurora,weight+ic,v_component_of_wind,850,6,0.76337499,0.87354383,0.61679625,112
aurora,weight,v_component_of_wind,850,24,0.37411601,0.45626825,0.73212861,112
aurora,ic,v_component_of_wind,850,24,0.74913139,0.91490702,0.78029301,112
aurora,weight+ic,v_component_of_wind,850,24,0.83131162,0.99897748,0.75972362,112
aurora,weight,v_component_of_wind,850,72,1.2650297,1.6193466,1.1720306,112
aurora,ic,v_component_of_wind,850,72,1.3051378,1.7679493,1.2494059,112
aurora,weight+ic,v_component_of_wind,850,72,1.6781805,2.1429736,1.1703475,112
aurora,weight,v_component_of_wind,850,120,2.2381373,2.8261117,1.6557063,112
aurora,ic,v_component_of_wind,850,120,2.0520469,2.7520362,1.7856766,112
aurora,weight+ic,v_component_of_wind,850,120,2.642096,3.3248274,1.6668273,112
aurora,weight,v_component_of_wind,850,240,4.046194,4.8933744,2.4929225,112
aurora,ic,v_component_of_wind,850,240,3.793621,4.7577243,2.6013582,112
aurora,weight+ic,v_component_of_wind,850,240,4.1762247,5.037262,2.4868873,112
aurora,weight,specific_humidity,500,6,2.3669699e-05,3.2735543e-05,5.9057767e-05,112
aurora,ic,specific_humidity,500,6,0.00014199423,0.00021939836,0.00011129685,112
aurora,weight+ic,specific_humidity,500,6,0.00014467257,0.00022157573,0.00011083373,112
aurora,weight,specific_humidity,500,24,9.0534591e-05,0.00012930633,0.00015512237,112
aurora,ic,specific_humidity,500,24,0.00015482458,0.0002365645,0.00015714393,112
aurora,weight+ic,specific_humidity,500,24,0.00017957046,0.00026042676,0.00015223382,112
aurora,weight,specific_humidity,500,72,0.00027379827,0.00037200586,0.0002352656,112
aurora,ic,specific_humidity,500,72,0.00022490942,0.00032144111,0.00025421411,112
aurora,weight+ic,specific_humidity,500,72,0.00032774492,0.00043041165,0.00023082373,112
aurora,weight,specific_humidity,500,120,0.00041679735,0.00053076469,0.00029673179,112
aurora,ic,specific_humidity,500,120,0.00029915788,0.00040490741,0.00033240572,112
aurora,weight+ic,specific_humidity,500,120,0.00045184294,0.00056359795,0.0002953646,112
aurora,weight,specific_humidity,500,240,0.0006084921,0.0007190134,0.00040077196,112
aurora,ic,specific_humidity,500,240,0.00047767472,0.00059086763,0.00043441064,112
aurora,weight+ic,specific_humidity,500,240,0.00062212743,0.0007315371,0.00039747846,112
